query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
165,kern-humdrum-haydn-symphonies-sym100,haydn_fj,11267431196650128246,216,8.867506361989463e-05,148,103.16132459192042,148,67.31217441415419,44
166,dcml_abc-n10op74,beethoven_l,16480695499394080317,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
167,dcml-jc_bach_sonatas-op-17,bach_jc,16860401917855864207,303,6.711467308922129e-06,13,10.95454369277395,13,10.43636048253643,10
168,dcml-beethoven_piano_sonatas-op-57,beethoven_l,10398494046230453279,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
169,dcml-jc_bach_sonatas-op-5,bach_jc,6151754211626362839,303,4.793905220658664e-07,0,0.953732427911133,0,0.9497021643512937,0
170,musedata_mozart-nma-sym-k73,mozart_wa,11185099478490614731,231,0.03704254519477998,59528,35601.34197132676,59528,230.59570907335143,167
171,kern-humdrum-haydn-quartets-op33n1,haydn_fj,5946056993866569966,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
172,musedata_beethoven-bhl-orch-sym4,beethoven_l,7127651138963397023,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
173,musedata_mozart-nma-sym-k19,mozart_wa,11185099478490614731,231,0.03704254519477998,59528,35601.34197132676,59528,230.59570907335143,167
174,kern-humdrum-haydn-quartets-op64n4,haydn_fj,14677105770085422214,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
175,dcml-kozeluh_sonatas-op-26-no-1,kozeluch_l,15218377055555707064,297,4.788350135653959e-07,0,0.9526196175171355,0,0.9485794353445447,0
176,musedata_mozart-bhl-sym-k504,mozart_wa,6950864796816431459,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
177,musedata_beethoven-bhl-orch-sym7,beethoven_l,3015709499420211052,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
178,musedata_mozart-bhl-qrtets-k421,mozart_wa,7805696917491270399,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
179,dcml_abc-n15op132,beethoven_l,6320181821451502146,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
180,osq-5108909,schubert_f,8555042560126164715,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
181,kern-humdrum-haydn-quartets-op76n4,haydn_fj,12301364521628735017,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
182,dcml_mozart_sonatas-K331,mozart_wa,14497864205230856561,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
183,dcml_abc-n04op18-4,beethoven_l,7520863936754906557,246,0.0004149124233166069,563,382.7814280252446,563,157.6756260898362,136
184,dcml-cpe_bach_keyboard-wq-55-3,bach_cpe,5905352059222794196,271,1.0617781115407558e-05,21,16.163135623518237,21,14.846902452592351,6
185,dcml_abc-n06op18-6,beethoven_l,11596593836087628298,246,1.4713206500588897e-06,1,1.9408734764586757,1,1.926463810292021,1
186,musedata_mozart-bhl-qrtets-k168,mozart_wa,10897055611396658256,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
187,dcml-beethoven_piano_sonatas-op-2-2,beethoven_l,2360447974850183003,246,1.1034904875441673e-05,14,8.660398323772165,14,8.348423012276033,5
188,osq-13145830,schubert_f,14361022161898137230,288,1.526512468553843e-05,29,20.052225312504646,29,18.716687289593338,16
189,kern-humdrum-haydn-quartets-op01n4,haydn_fj,15059129027924414619,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
